Sr No,Image File,Caption
1505,img/insta1505,stock just went up 🔝 link in bio 🔝 
1506,img/insta1506,daddy 
1507,img/insta1507,"16 hour flight to Dubai ✈️ Doing the biggest Meet & Greet in the world on Nov 11, 5pm at — can’t wait to see everyone, let’s get rowdy 😈 ALSO, just dropped these pink hoodies and they’re so cool they’re actually illegal in Idaho 〽️ 🔝 (LINK IN BIO) 🔝 "
1508,img/insta1508,"[SWIPE] The apparel game has changed forever — we just dropped BOTTOMS (Joggers, Shorts, Leggings) 😱💥🔝 You can quote me - These will be the most comfortable & versatile bottoms you own; from performance shorts and marled joggers to form fitting, breathable leggings for our ladies... WE GOT YOU COVERED HEAD TO TOE, AND IN YOUTH SIZES TOO. FACTS, WE’RE AWESOME. 🙌🏼🙌🏼🙌🏼 As we officially cross the gap from “merch” to an actual apparel company, the Maverick Movement continues to grow, thrive and innovate. We’re not afraid to stand out, and we’re not afraid of the hard work it takes to achieve our goals, NO MATTER HOW CRAZY THOSE GOALS MAY SEEM... I’m just a kid from Ohio, but l was never afraid to prove to the simple-minded people in my town that l was going to be great... God damn I’m getting deep but real talk this is a big milestone for our brand, l can’t wait to take over the world with my fellow Mavericks hahaha GET YOUR BOTTOMS and join the movement!! 🔝 LINK IN BIO 🔝 (p.s. the favorite hoodie is back, get yours before it sells out again 😜) "
1509,img/insta1509,"yaaoo i was bored so i bought the biggest pumpkin in California (2,000 pounds)... it’s pale and has a huge stem, just like me "
1510,img/insta1510,"“No Handlebars” song + music video coming soon 🙌🏼 also, all these girls are with me cuz my flawless personality obviously not cuz I hired them with money to make me look cool for my music video "
1511,img/insta1511,"[LEFT] My new house [RIGHT] Promises I wrote down 7 years ago after life kicked my ass... At 15 years old, I had surgery on both knees and got a titanium plate the sizer of a quarter inserted in my head. I was ruled out for the ENTIRE football season (the only thing I wanted to do at the time), and remember crying, literally weeping on the floor at home, screaming “WHYYY ME?! WHYYYY?!” <— lol can you imagine that? ANYWAYS... I took the loss. But I decided to say F**K IT, and that I wasn’t going to let this road bump shape my destiny or my mindset. Instead, I let it make me stronger. Next time, I was going to kick LIFE’S ass 😈 Now, after years of hard work, exceeding expectations and countless hours of honing and pursuing my passion of creating, at 22 years old, I JUST BOUGHT ME A HOUSE! TAKE THAT LIFE, YOU SON OF A BITCH! 😂 Jk, you’re dope, and thanks for having me on your planet. The Mavericks stay winning 😉 p.s., look at my shorts, bottoms dropping Nov 1, about to change the merch game forever YEET "
1512,img/insta1512,Wanted some excitement in my life so I grew this mustache (it took me an hour) 👨🏼 do u luv it or h8 it? ps u got merch? (link in bio) 
1513,img/insta1513,"IT'S FINISHED!!! Three months of customization and ""The Cool Bus"" is finally complete 😈 We turned a regular, boring school bus into the most ridiculously obnoxious and savage content machine in the United States. It's not a head turner - it's a god damn neck breaker... AND IT BANGS, y'all killed it 🔥🔥🔥 FEATURES: Smart glass (automatic window tint), 30 interior speakers, electric winch, color changing LED lights, toilet, microwave, kitchen, hammock on the inside, 50 inch flatscreen with Apple TV & wifi, two beanbags, air conditioning, an intercom system and a bunch of other dope stuff 😂🙌🏼 (p.s. swipe over and check out the tires, always plug, Merch link in bio YEET) "
1514,img/insta1514,"MY SONG ""OUTTA MY HAIR"" AND MUSIC VIDEO IS COMING SOON PS ZOMBIES CAN STILL BE HOT 💀🔥 "
1515,img/insta1515,thanks for letting me talk about my testicles on your show 
1516,img/insta1516,"my baby is back and badder than ever 😍 (ps catch me on tonight, 11:35pm EST, 10:35 CT) "
1517,img/insta1517,Hercules wore jorts too 🍇🇮🇹💫 
1518,img/insta1518,searching for my future Italian wife but she playin rn 🇮🇹🇺🇸💁🏽 
1519,img/insta1519,aight this is getting stupid lololol 💎💦❄️💦❄️💦❄️💎 
1520,img/insta1520,"I wouldn't be posting this if I didn't think it's the beginning of an incredibly long, prosperous, earth-shaking journey... Just got my Diamond play button and I'm proud to say we're the fastest channel to ever hit 10M Subscribers on (333 days), and as of today I've officially been Vlogging for 1 year. Hot damn. 🔥🔥🔥 Every day I aim to send ripples through life, spread positivity and preach that being different is not only OKAY, but encouraged. It's the Mavericks who are going to DENT THE UNIVERSE... and you can bet you're ass I'm gonna put a dent in this bitch 😜 Our new shirt is available for 48 hours ONLY, so grab your merch and 🔝 (Link In Bio) 🔝 "
1521,img/insta1521,damn... the sun is sunny and the ice is icy 💎❄️☀️❄️☀️❄️☀️❄️☀️❄️💎 
1522,img/insta1522,I'm the Burning Man cuz this coat is hot af 🔥 
1523,img/insta1523,My boy wanted a Rolex... So I got him a Rolex 👑 
1524,img/insta1524,"It's cool to win two Awards... it's even cooler when your brother also wins two 😈 ALSO just broke history on the internet and became the fastest channel to hit 10M subscribers... it took us 333 days 🔥 YEET The Logang Paulers are the strongest family on the web, soon to be the world --- let's keep being great, breaking rules, and working hard to achieve our goals. THANKS TO ALL OF YOU FROM THE BOTTOM OF MY BIG BLONDE CHOCH HEART 💛 "
1525,img/insta1525,THE LION KONG 🦁 
1526,img/insta1526,"The rocket ship is about to take off... you coming? 🚀😉 Introducing our new YETI Backpack - by far my favorite & coolest piece we've ever dropped... Along with the Back To School and Youth Merch we just released, the Mavericks continue to lead the pack in innovation and straight up savagery - Get your gear & join the movement YEET 🔝🔝🔝 ➡️ Link In Bio ⬅️ "
1527,img/insta1527,I'm Logan Paul and I came here to f**k s**t up 
1528,img/insta1528,fur soft but we hard af 
1529,img/insta1529,I'm not a good swimmer so good thing my biceps act as floating devices 💪🏼😂 Missing Hawaii... Where should I travel to next?! ✈️✈️ 
1530,img/insta1530,new whip new merch same Ohio Boy 😉 Grab your merch in the next 48 hours & I'm embroidering 10 of your names on the interior AND flying 2 of you out here to take a ride in this beast! 🔥 LOGANG TO THE 🔝🔝🔝 (Link In Bio) 🔥 
1531,img/insta1531,"this sh*t way too crazy AY 😱 first ever Pop-Up shop is OUT OF CONTROLLLLLL! Y'all are savages, rain or shine you show up excited to witness the experience and rep the merch! We got two more days so stay tame for me so the NYPD doesn't put me in jail, aight? 😉 "
1532,img/insta1532,"New York City... let's light it up this weekend 😈 We're hosting the first EVER Pop-Up Shop in the heart of NYC!!! Our team has been grinding hard to make this an EXPERIENCE, with exclusive and unreleased merchandise that'll make you salivate 💦 Come take pics, grab your merch and join the movement 〽️ Can't wait to see you savages this weekend! 〽️ (swipe for details) "
1533,img/insta1533,damn we're sexy 
1534,img/insta1534,🇺🇸 
1535,img/insta1535,The duo 🔝🔝🔝 ... Who's reppin merch this Fourth of July? 🇺🇸😎 
1536,img/insta1536,"THAT'S A WRAP ON Unfortunately that means my character Mickey doesn't get to charm any more ladies with his wide stance and big hands 😫 BUT... I can't wait for y'all to see this movie in theaters next year! NOW OFF TO KAUAI, HAWAII TO CELEBRATE! 💯 "
1537,img/insta1537,"Dear Society, Try to stop me 😈 - The Maverick Our black and white line is slick affff, join the movement and 🔥Merch Link In Bio🔥 "
1538,img/insta1538,Just dropped the hottest music video of 2018 with this legend I skipped a year cuz it's so damn awesome... Go watch that ish 😎 🔥Link In Bio🔥 
1539,img/insta1539,Mickey's a dog 
1540,img/insta1540,"I break the rules... I am unique... I work hard... I'm a Maverick. Just dropped our new USA line, grab your gear for the Fourth of July and 💯 🇺🇸 LINK IN BIO 🇺🇸 "
1541,img/insta1541,"MY NEXT MOVIE! It's called and I play the character of ""Mickey"" - a fun loving choch from the 1980s who drives a yellow Bronco and smells like golden buttercups 😂 This will be the biggest film I've done yet & there's nothing like it. Comedy, love, music... VALLEY GIRL GOT IT ALL! YEEEEEEEET 🔥 "
1542,img/insta1542,"Lots of good stuff happening - my comedy song ""Help Me Help You"" featuring the little bros just hit 26 MILLION views on and is sitting at NUMBER 6 on both GLOBAL and VIRAL Top 50 hit list! 🔥 Also, the boy's song ""Something Different"" that I directed the music video for JUST hit the radio for the first time EVAHHHHH! So cool to see them grow 🙌🏼 Lastly... 😱 All will be explained in tomorrow's Vlog 💯 "
1543,img/insta1543,The Maverick 💥 Focused... 
1544,img/insta1544,"Was bored. Filled my Cool Bus with plastic balls. Why couldn't we have gone to school like this?! 😂🚌 (Ps, ALL merch is 20% off for this weekend ONLY! and get it fast, Link In Bio) "
1545,img/insta1545,Every good friendship has a solid foundation 💯 HOLY S*** THAT WAS CHEESY 😂🧀 love you bro 📷 by 
1546,img/insta1546,Only one is a legend but the other two are on their way 😉 
1547,img/insta1547,"Off to Vegas to present the ""Top Social Artist"" award at the ✈️🔝 "
1548,img/insta1548,Our song is out NOW on & 🔥🎵 Go download it & let's get this puppy to number 1 😉 🔝LINK IN BIO! 🔝 
1549,img/insta1549,"Always Plug. Best life advice ever 😂 Examples: Follow my puppy hat 🐶 My song ""Help Me Help You"" Feat. comes out tomorrow 🎶 Follow my 2nd account 🔥 Women's gear just dropped 💁🏻 Buy your ""Always Plug"" gear now, Link In Bio 🔌 LOL SO MUCH PLUGGING 🔌🔌😂 "
1550,img/insta1550,"Unconditional love for this woman. Growing up, she was my test audience for all my hobbies - magic tricks, photography, inventing, and my favorite: comedy. If I could make her laugh with a dirty joke she knew she wasn't supposed to laugh at, then I was doing a good job 😁 She encouraged creativity and supported all my endeavors, no matter how insane. I'm glad nothing's changed... except maybe our haircuts 😂 Love ya mama, Happy Mother's Day! "
1551,img/insta1551,"New pup. New Merch. Both savage. 👑 Welcome aboard the rocket ship I promise you're about to live the craziest, most fun life that's semi-legal for a dog 😈 p.s. Swoop your Merch, now available for 1 week - LINK IN BIO 🔥 "
1552,img/insta1552,"This weekend for my show I legitimately became the Mayor of Ruston, Louisiana 😂 With great power comes great responsibility, which is not really my thing, so I gave the old mayor his job back after this fiery speech to my fine people. 🔥 What a weekend. This episode is gonna be amazing. One last thing: I don't need a slogan, my name's Logan. 🇺🇸 "
1553,img/insta1553,"ELK CROSSING! Just hitchhiked the entire west coast of the United States & crossed two international borders along the way lololol 😆 No money, no phone (my ride took this pic), no food or water... all I gotta say is: WHAT AN EXPERIENCE. Hitch Hiking coming this fall on 👌🏼 (p.s. the new collection is comfy af & only available for 5 more days, Link In Bio) "
1554,img/insta1554,"Fun Fact - for the next two days I'm hitchhiking from Vancouver, Canada, to Tijuana, Mexico for my show 👍🏼 They're blindfolding me and taking my phone and wallet so if I get kidnapped along the way, someone please make a low budget documentary of my life called ""The Maverick"" OR ""The Choch"" and win an Oscar. NOW, if I make it... guhhh dayummmm, this episode is gonna be entertaining af haha 😏 coming this fall on "
1555,img/insta1555,"ANOTHER ONE! Just wrapped our music video shoot for my comedy song ""Help Me Help You"" Feat. & starring the irresistible caramel colored goddess 💥 This song/video is going to make you laugh. Hard. Like really hard, I'm talking Dwayne Johnson hard. Be on the lookout 👀 "
1556,img/insta1556,"I'm a very hands-on director. I'm also a very pants-off director. From acting to producing to writing to directing, I LOVE all aspects of entertainment & it's important to me that I'm changing the game both behind AND in front of the camera 🎥 This music video I directed for song ""Something Different"" is my favorite piece of work yet; I put my heart and soul into it, these cats are going to be massive & I'm honored to be along for the ride. TO THE TOP! 🔥(ps, music video LINK IS IN BIO go watch!) 🔥 "
1557,img/insta1557,"- Do something adventurous this week 🙌🏼 Yesterday your boy put his chicken legs to work with a little mid-day hike. It was cool to take a second to breathe and enjoy this floating rock we call home. BUT, emphasis on ""second"" ... time to get back to the grind 😏👊🏼 "
1558,img/insta1558,"Every ""Like"" on this photo helps secure 10 meals to fight hunger in America 👊🏼 so I'm gonna say it... I WANT 1 MILLION LIKES! YUUUUUP! 💥 For every like, share, or hashtag on this pic between April 17th - May 15th, will donate $0.90 to (up to $1.5MM). A $0.90 donation is enough to help secure 10 meals! Do your part and let's work together to fight hunger! 😈🇺🇸 "
1559,img/insta1559,"In the process of moving & realized that has never seen Hollywood Boulevard! 😱 So I took that little choch out there, parked him next to two taxis that oddly resemble his colors, and posted up for a swaggy ass Instagram pic. Now we here. Happy Easter y'all 🐇 "
1560,img/insta1560,"Pumped to see that people are digging my new merch 💥 I wanted to create something that inspires people to challenge society... if you have dreams, passions, goals, bring them to life! Forget about the simple-minded haters, forget about what society considers ""normal."" WHO TF WANTS TO BE NORMAL?! Normal people don't change the world 😜 The word ""Maverick"" means: Someone who exhibits great independence in thought or action. Emphasis on GREAT and emphasis on ACTION. I encourage everyone to --- to be unique, find your passion, work hard, and break the rules. Let the takeover begin 🙌🏼 (Merch Link In Bio) "
1561,img/insta1561,"I bought a school bus... yup 😂 I woke up one day and said ""I need a school bus."" So then I got one. Beyond that, I have no explanation 😂 BUT... I can promise you this will become the world's coolest school bus. So cool, I might even call it the ""Cool Bus"" 😎 The world is my oyster of bussibilities (like ""possibilities"" but with a ""bus"") Shouts to my Dad for driving this from New York to California & repping the Logang along the way 💥😏 "
1562,img/insta1562,Long & deadly... And I ain't talking about the sniper 😏 AYOOOO Caption by: 
1563,img/insta1563,"Today's my birthday... WOAH! I'm 22. Here's a picture of me trying to think what's special about 22. Besides that one Taylor Swift song probably nothing but yeah, heres to another year of surviving this crazy journey we call ""life"" 🙌🏼💥 "
1564,img/insta1564,"DIRECTOR LOGAN IN THE HOUSE! Last week I stretched my directing muscles & got to direct a music video for this band called ... some incredibly talented dudes who caught my attention & are about to change the game with their gold-coated vocal cords 🔥 Go watch the music video for their song ""Nobody Gotta Know"" that I directed! 🎬 LINK IN BIO 🎬 "
1565,img/insta1565,"UH OH JUST GOT THE NEWS... Our movie has been ""picture locked!"" 🎬 this means there are no more edits to the movie itself, and that it's been sent off to our Visual Effects & Sound Design team! Can't wait to show this outrageously funny Rated-R comedy to the world & tip Hollywood upside down. Or right side up... point is, whichever way it needs to be flipped, TEAM AIRPLANE MODE GONNA FLIP IT! BOOYA BABY! ✈️✈️✈️ "
1566,img/insta1566,not a father but you can call me daddy 
1567,img/insta1567,Brother Jake and I raced our cars today with our Mom as the flag girl 😂 WHO DO YOU THINK WON?! 
1568,img/insta1568,"I love this little parrot way too much so I said f**k it and bought him a $5,000 diamond ring (zoom into his ankle 😂) & made custom Maverick socks for y'all to conquer the world in 👍🏼😝 go get your pair by clicking the LINK IN MY BIO! (ps the owner of the company said if I sell 20,000 pairs he'll give me his car lololol) "
1569,img/insta1569,"Did you know the tailbone, otherwise known as the ""Coccyx,"" (side note - lol at ""coccyx"") is now a completely useless bone because the human race has evolved and we no longer have tails? This is a good thing because I think I shattered mine in 157 places sliding down this glacier Lol k I'm tired night y'all 👋🏼 "
1570,img/insta1570,Life is about balance ⚖️ ... and stopping traffic to get a dope Instagram pic with your long lost little sister 🔥 ayyyy haha 
1571,img/insta1571,This is the world's largest tree And if you look closely You'll see the world's largest chotch 
1572,img/insta1572,cash me outside 💪🏼 
1573,img/insta1573,The NBA Finals are dope this year 
1574,img/insta1574,Dune buggying in Las Vegas = top notch 🔥 
1575,img/insta1575,"Well, I crossed ""Officially Marry A Couple"" off my bucket list 🙌🏼💍 Congrats Elisha & Kristen!!! (Go Watch This Epic Vlog - LINK IN BIO!) "
1576,img/insta1576,YO BEST HAT EVER! 🙌🏼 
1577,img/insta1577,Sexy is a lifestyle 🔥 
1578,img/insta1578,Double date? 
1579,img/insta1579,Ours is better 😜 (tag ur bestie) 
1580,img/insta1580,Flying to Paris today... watch out France 🇺🇸🇫🇷 (tag an American) 
1581,img/insta1581,2017 ain't ready 👊🏼 Love you brother 
1582,img/insta1582,Who needs snow to go sledding? 😂 Go watch this EPIC Vlog & Subscribe! (Link In Bio) 
1583,img/insta1583,Let's get it 💪🏼 
1584,img/insta1584,One day I will do a middle split but today is not that day 🇺🇸 
1585,img/insta1585,Not on top of the world but definitely on top of a log 
1586,img/insta1586,"Yesterday I got these glasses that cured my color blindness and I saw true color for the first time 😱👓 We watched the sunset and I almost cried, key word being ALMOST haha then we took this pic because I was so happy (ps why can my body do this?) 😂 Go watch my reaction in this emotional Vlog & SUBSCRIBE! (Link In Bio) "
1587,img/insta1587,Thankful that I didn't fall! (Pun intended) Happy almost Thanksgiving 😁🦃 
1588,img/insta1588,Trust 🙌🏼 Don't let go 😉 
1589,img/insta1589,"Just got a new dog, I named him Russell 🐶 (Go watch this crazy Vlog - LINK IN BIO!) "
1590,img/insta1590,Do it 
1591,img/insta1591,Soon 😉 
1592,img/insta1592,"What if I told you I wasn't jumping, I was actually falling from the sky... And the landing REALLY hurt 😂 (Go watch this EPIC Vlog - LINK IN BIO!) "
1593,img/insta1593,It was an honor to speak at the 30 Under 30 Summit about 🔥 THANK U BOSTON LUV U! 
1594,img/insta1594,"Speechless. Driving down the street and saw this giant billboard for my first movie, 😱 Since it's the weekend, grab your friends & some popcorn, and go watch on YouTube Red! (LINK IN BIO) If YouTube Red isn't available in your country, you can watch it on Google Play... We gotchu bruh 👌🏼 "
1595,img/insta1595,"IT'S FINALLY HERE! My first movie, THE THINNING, is out NOW on YouTube Red! 😱 (Link in Bio) I promise this movie is going to blow your mind! I'm super proud of the product, and you guys can finally see a serious side of me 😛 Cancel your plans & clear your calendars --- AND GO WATCH THE THINNING! If YouTube Red isn't available in your country you can watch it on Google Play 👌🏼 "
1596,img/insta1596,"Tomorrow, my FIRST movie comes out on YouTube Red... and I've never trained this hard in my life. You'll see why when you watch 😉 (UPDATE ---> MOVIE LINK IN BIO) 👌🏼 "
1597,img/insta1597,Yo life is dope 
1598,img/insta1598,"Aloha, Hawaii... nearly died taking this 😂 GO WATCH in today's epic Vlog - LINK IN BIO! "
1599,img/insta1599,MISSING THE LEG KICKS & COCONUTS IN BRAZIL WITH MI HERMANO 😁🇧🇷 
1600,img/insta1600,POPCORN POOL BECAUSE POPCORN RULES 👌🏼 (tag a friend you'd jump with 😝) 
1601,img/insta1601,"He completes me... Well, almost. 😂😝 (w/ "
1602,img/insta1602,"NOTHING BEATS AN EPIC NIGHT LIKE AN EPIC SUNRISE 👌🏼 🔥 ps guys after spending a week in the desert without my phone, I come back to see that we hit 6 MILLION! THAT'S INSANE!!!! MASSIVE thanks to all of you for giving me the chance to make you laugh and/or vomit. Let's keep growing the family 💪🏼 I'll get real sentimental at 10M but for now LET'S KEEP GRINDING! "
1603,img/insta1603,"World Champion Sumo Wrestler VS. Crazy American Boy 😂 This is for my new show ""LOGAN PAUL VS."" --- until now it's been a secret, but we've been shooting this for the past two months all across the USA 🇺🇸✈️ Basically I just face off against the CRAZIEST, most bizarre things in the country... This particular episode is ""LOGAN PAUL VS. BEAR"" [yes, you read that right], and what better way to train for wrestling a bear than taking on a 600 POUND SUMO CHAMPION?!) "
1604,img/insta1604,Guy didn't want me to eat my giant pizza up here lololol 🍕😝 
1605,img/insta1605,AMERICAN BOY AT THE 2016 OLYMPICS WITH A FANNY PACK YAAAAAS 🇺🇸🌎🇧🇷 
1606,img/insta1606,I WANT TO ENTERTAIN THE WHOLE WORLD! 🌎 Where are you from? 
1607,img/insta1607,WARNING: DON'T TOUCH THE LIGHTSABERS 🔥 
1608,img/insta1608,if you look closely I'm right in the middle of the photo 
1609,img/insta1609,DO: enjoy the view DON'T: become the view 😂 Follow me today on for more modern day advice on being smooth 
1610,img/insta1610,The key is to blend in with your surroundings 🔑🔑🔑🔑 
1611,img/insta1611,yeehaw 
1612,img/insta1612,"Dear Japan, Thanks for not kicking me out of your country Love, Logan ❤️ "
1613,img/insta1613,"I may be in China but you know I still rep that red, white & blue... Happy bday 'Murica 🇺🇸 "
1614,img/insta1614,One city at a time 🇬🇧 Where to next? 
1615,img/insta1615,Found this little Asian boy in London. Named him Isaac. Nice kid. 
1616,img/insta1616,Reunited with Mi Hermano & climbed an abandoned lighthouse that overlooks the whole city of Cannes 🇫🇷😀 oh and Juanpa shit his pants 
1617,img/insta1617,"Yes I'm the dumb American who wears a ""France"" shirt in France 🇫🇷😂 "
1618,img/insta1618,They're staring because they've never seen this much Liberty in one picture 🇺🇸 
1619,img/insta1619,I may skip leg day but my drop kicks are deadly 🔥 
1620,img/insta1620,I was never good at babysitting 😐 
1621,img/insta1621,"I'm sad right now. Not because the monkey is kissing and not me (although that does suck), but because after one month of living together, laughing together, and squeezing all the crazy out of life that we possibly could... Juanpa Mi Amigo is headed back to Mexico (he's literally in my phone as ""Juanpa Mi Amigo"" 😂) ------------------------------------------------- Now I know what you're thinking - no, he did not get deported. Juanpa played my foreign exchange brother in and it's time for him to go home and keep conquering Latin America. ------------------------------------------------- Juanpa dude. You're more than a friend to me, you're a brother... and I know people will be able to feel that in the movie. Your natural talent blows me away and I know the audience is going to be STUNNED when they see your performance in your first movie! It's been amazing to grow and learn together these past two years, and I'm so happy for your friendship. You're now in my phone as ""Juanpa Mi Hermano"" ... Love you brother. 🇺🇸🇲🇽 "
1622,img/insta1622,Best friends or ? Both 😎 
1623,img/insta1623,
1624,img/insta1624,THIS MOVIE IS GOING TO BE THE FUNNIEST COMEDY OF THE YEAR. 
1625,img/insta1625,haven't posted a tool pic in a while so here you go🔧Also think this is my first selfie as a 21 year old. Slightly ashamed. But only slightly. 
1626,img/insta1626,You will make this face at least once when you watch this movie. 😂✈️ 
1627,img/insta1627,DAY 1 OF MY MOVIE WRAPPED! All the cast came through and gave a performance that will make this movie timeless. And that's what we're going for - we want to give you a movie that defines a generation! DEFINES A DAMN GENERATION! This film is going to shock the world ⚡️🌎 It's a Rated R comedy with no boundaries... It has the largest cast following of any movie to date... And it's going to be the funniest comedy of the year. Can't wait for y'all to see 
1628,img/insta1628,"In celebration of my 21st birthday & starting to shoot my new movie this week, my mother got me a penis-plane cake. Thanks ma! AIRPLANE MODE is my movie that I helped write, am producing, and will star in! After two years of hard work on this project, I promise I'm going to deliver you guys the funniest comedy of the year! p.s. - it's rated R and is absolutely inappropriately insane 😂 expect to see a side of me you've never seen before ✈️ "
1629,img/insta1629,"4 days away from shooting a movie that I wrote, am producing, and starring in - AIRPLANE MODE when this little baby bird made its way into the office! 🐤 It was injured, so we gave it some water and returned him back to his nest. Coincidence? I THINK NOT! This little guy symbolizes the beginning of a movie that is about to TAKE OFF! (Literally) We've been working on this project for the past two years, and I know my writing partners and directors over at are going to make this, mark my words, THE FUNNIEST COMEDY OF THE DECADE. "
1630,img/insta1630,"He told me we were making a vlog then proceeded to drive me through a garage door filled with 66,000 tubes. Pranked by yet again lololol "
1631,img/insta1631,photobombed by a manatee you gotta be kiddin me 
1632,img/insta1632,"Watch me on Comedy Central tonight with these two crazies... I'll be on at midnight! On a show called ""At Midnight!"" HOW CONVENIENT! also I ❤️ "
1633,img/insta1633,"A hunter in the wild... 😏🐠 No really though haha today I scoured the deep blue sea with spear fishing for my dinner --- the Lion Fish. It's an invasive species that EAT the good fish that keep the reef healthy. ASSHOLES! Don't worry, I handled it. I gotta say, it's a dope experience working with to save the Ocean & watch my food go from boat to plate. Super fresh and super delicious! Also I feel like a full savage swimming with this giant trident 😂 "
1634,img/insta1634,Birthday weekend was a success 👌🏼🎉 
1635,img/insta1635,I wish you could have seen the look of the host when I took the Roman candle off the cake and put it in my mouth 😂 shouts for making my 21st special! 😜 
1636,img/insta1636,You know when your mom says don't make that face because it will get stuck like that yeah that's what happened here BIG thanks & 😎 
1637,img/insta1637,"I was born 21 years ago, today "
1638,img/insta1638,Ayyyy! Excited to be on TV again 😜 My first episode on the (previously known as ABC Family) show airs April 5! (📷 by 
1639,img/insta1639,when you accidentally like her photo from 52 weeks ago 😐 caption by: 
1640,img/insta1640,"Been waiting to tell y'all this for some time now... MY LITTLE BROTHER JAKE BOOKED A LEAD ROLE ON THE NEW SHOW ""Bizaardvark!!!"" What?! My little bro is now a series regular Disney Star?!?! Just a year and a half ago we moved to LA and I'm so excited to be living this incredible journey with you & making the transition from social to ""mainstream"" media... Congratulations man, love you. p.s. Keep an eye out for Episode 8, big bro might make a guest appearance 😜 "
1641,img/insta1641,"Stopped by today, found out my movie has been PICTURE LOCKED! So excited for you guys to see it this Summer 😎 "
1642,img/insta1642,"I would've gotten higher but I had a 3,000 calorie breakfast 😂 "
1643,img/insta1643,VIRTUAL REALITY ROLLERCOASTERS! Dude I can't believe this is what the future's gonna look like... So pumped to be experiencing it with at the Unpacked Event here in Spain 
1644,img/insta1644,LIOOOOOOOOON! haha having the best time in Spain partnering with to give you guys an exclusive look at their Unpacked Event tomorrow! - add me on Snapchat to follow the madness: LoganPaul 
1645,img/insta1645,"Happy Valentine's Day to my one true bae, 🐤😘 (p.s. Congrats on hitting 100k but stop chewing up the damn floorboards) "
1646,img/insta1646,My teachers always said that I'm a special kind of special 🙃 (w/ 📷 by: 
1647,img/insta1647,DON'T FORGET TO SMILE TODAY! 😄 
1648,img/insta1648,"ya boy scored the cover of 😉 recently I've come to the realization that my life is a whirlwind of ""I don't know wtf is going on, but I'm just gonna go ahead and LIVE."" By this I mean... I'm a kid from a small suburb outside of Cleveland, Ohio. Never in my life would I have expected to make the cover of one of the biggest print advertising magazines in the world Or star in a feature film Or write and create my own feature film (details coming soon 😉)... Or, MY FAVORITE, build an audience, a fanbase, a SQUAD of 22M+ people across all my social networks. NOW, I'm not saying this cover is the end-all-be-all, but I could NOT have done this without all of your support and love these past two years. All of you. This is a nice rung in the ladder and I'm super incredibly unbelievably fortunate that you guys want to climb it with me :) WHAT I'M TRYING TO SAY IS... Throughout all the madness, I stopped trying to comprehend it and decided to go back to the basics - Stay humble, stay crazy, and most importantly: stay driven. Okay. I'm done. Back to entertaining. The link to the article is in my bio, and the amazing pics were shot by . Thank you & Love you guys "
1649,img/insta1649,Welcome to my office 🙏🏼 
1650,img/insta1650,deuces 
1651,img/insta1651,Here's a pic of me from the 7th grade. You will notice two things: 1.) I was a savage 2.) I was a savage 
1652,img/insta1652,but im not a model no srsly 
1653,img/insta1653,my brother and I are more fabulous than you and your brother (tag your brother 😎) 
1654,img/insta1654,TE AMO BRAZIL! 
1655,img/insta1655,she said her hand was cold 
1656,img/insta1656,you won't like him when he's angry... 
1657,img/insta1657,My morning ritual... Who wants eggs? 🍳 (TAG 2 FRIENDS) 😜 
1658,img/insta1658,We finished shooting so what better way to celebrate than DISNEY LAND & BEST FRIENDS?! 
1659,img/insta1659,They're saying it's the biggest premiere in Hollywood history... WHAT?! 📽😎 go download & check me out on to follow the awesomeness LIVE! 
1660,img/insta1660,"... Year 2039. If you score in the lowest 5% on a test, you get killed off. Woah. "
1661,img/insta1661,
1662,img/insta1662,Got to dress up as a gladiator today and get captured for a Virtual Reality machine ⚔🛡💪🏼 
1663,img/insta1663,"Currently shooting my movie about population control in year 2039... It's so badass, can't wait for y'all to watch it next year 😎 by "
1664,img/insta1664,not gonna lie I used photoshop to remove a freckle off the tip of my nose 
1665,img/insta1665,So today is pretty awesome: I'm traveling from Arizona to California in a helicopter and a bunch of exotic cars & giving away a free year's worth of clothing at 6 different locations 😎 HAPPY THANKSGIVING! 
1666,img/insta1666,"Thanksgiving: A day of family, friends, food, and using pumpkin pie to watch football hahaha... Packers VS. Bears, LIVE on now "
1667,img/insta1667,"Meet Blake Redding - the year is 2039 and the world's resources are severely depleted. In order to combat overpopulation, the USA issues a standardized test to students in every grade. The lowest scoring 10th percentile gets killed off. Dun dun dun... The logline for this incredible film. First day on set of ! "
1668,img/insta1668,"Been waiting four months to announce this 😉 PUMPED to start shooting ""The Thinning"" with "
1669,img/insta1669,Want to win tickets to the iHeart/Jingle Ball concert!? Play Jingle Moji quiz at www.whynotwednesday.com/jinglemoji and see how good you are at reading emojis 😜 hopefully better than me haha 
1670,img/insta1670,when you see your ex in public 🖕🏻🖕🏻 
1671,img/insta1671,"Bruh. Does it get much better than this? Enjoying the goods on the app :) Go download it, sign up for DD perks, and enter promo code LOGAN to get a free beverage Link in bio 😄 "
1672,img/insta1672,the duo 
1673,img/insta1673,can't jump to save her life 
1674,img/insta1674,coming for you 💪🏼 
1675,img/insta1675,my fam about to drop the hottest mix tape of the year 🔥🔥🔥 
1676,img/insta1676,"I know this looks bad but trust me, tastes better microwaved... I'm expecting a call from PETA in the morning "
